ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"168.228.153.1","elite","AS264939","BR","REALNET MG","228","REALNET MG","1080","socks4","3505","1","2025-06-23T11:38:42.838Z","99","2114","2129"
"102.132.76.29","elite","AS328320","ZA","Kurlec Wireless (PTY) Ltd","191","Kurlec Wireless","5678","socks4","3671","1","2025-06-23T11:38:42.738Z","89","2582","2898"
"202.21.102.68","elite","AS9484","MN","Mobinet LLC","122","N/A","5678","socks4","2695","1","2025-06-23T11:38:42.747Z","67","6759","10014"
"172.96.12.37","elite","AS64236","US","Heymman Servers Corporation","106","INDODEDI.COM","61500","socks4","3906","1","2025-06-23T11:38:42.642Z","93","1207","1295"
"78.132.183.185","elite","AS13056","RU","OJSC Rostelecom","77","OJSC Rostelecom","3128","socks4","2289","1","2025-06-23T11:38:42.661Z","51","1384","2706"
"112.78.164.62","elite","AS17451","ID","Biznet Networks","177","Metronet","5678","socks4","3195","1","2025-06-23T11:38:42.660Z","95","9571","10068"
"41.216.232.213","elite","AS37672","CM","INQ","184","N/A","4153","socks4","4375","1","2025-06-23T11:38:42.659Z","77","2541","3290"
"119.10.181.138","elite","AS24530","ID","PT. Power Telecom Indonesia","166","Powertel","5678","socks4","3795","1","2025-06-23T11:38:42.744Z","100","798","802"
"188.26.5.254","elite","AS8708","RO","RCS & RDS","43","RCS & RDS Business","4145","socks4","4787","2","2025-06-23T11:38:42.663Z","90","9099","10087"
"103.69.20.28","elite","AS135724","IN","Allnet Broadband Network PVT LTD","159","Allnet Broadband Network Pvt Ltd","58080","socks4","286","1","2025-06-23T11:38:42.745Z","100","815","817"
"170.106.184.175","elite","AS132203","US","Tencent Cloud Computing (Beijing) Co","146","N/A","9461","socks4","4799","1","2025-06-23T11:38:42.730Z","100","986","988"
"173.255.199.69","elite","AS63949","US","Akamai Technologies, Inc.","116","Linode","19151","socks5","2782","1","2025-06-23T11:38:42.646Z","84","8482","10048"
"85.206.167.133","elite","AS61272","LT","Informacines sistemos ir technologijos, UAB","31","Yevhen Ahapov","32631","socks4","2614","1","2025-06-23T11:38:42.737Z","100","2703","2705"
"113.204.4.142","elite","AS4837","CN","CNC Group CHINA169 Chongqing Province Network","184","N/A","10800","socks4","3193","1","2025-06-23T11:38:42.745Z","94","9520","10116"
"190.14.224.244","elite","AS27951","CO","Media Commerce Partners S.A","157","URB.E","3629","socks4","1277","1","2025-06-23T11:38:42.650Z","99","3266","3303"
"85.105.50.108","elite","AS47331","TR","TurkTelecom","58","Turk Telekomunikasyon A.S","80","socks4","3978","1","2025-06-23T11:38:42.658Z","100","2751","2759"
"178.32.47.218","elite","AS16276","BE","OVH ISP","18","OVH BE","38650","socks5","4018","1","2025-06-23T11:38:42.740Z","100","10094","10095"
"57.128.75.104","elite","AS16276","FR","OVH SAS","9","OVH","3128","socks4","4400","1","2025-06-23T11:38:42.838Z","100","1171","1171"
"51.89.16.111","elite","AS16276","GB","OVH SAS","8","OVH","49528","socks4","5004","1","2025-06-23T11:38:42.638Z","100","9908","9931"
"83.235.22.245","elite","AS6799","GR","OTEnet","47","OTEnet S.A.","5678","socks4","1703","1","2025-06-23T11:38:23.137Z","100","3188","3203"
"195.175.87.14","elite","AS9121","TR","Turk Telekomunikasyon Anonim Sirketi","74","TTnetTurkTelekom","4153","socks4","3984","1","2025-06-23T11:38:23.138Z","99","9887","10036"
"202.168.146.109","elite","AS55352","IN","Xm Media Services LLP","155","Xm Media Services LLP","1080","socks4","4088","65","2025-06-23T11:38:22.830Z","100","1294","1297"
"103.200.135.230","elite","AS134739","MM","AGB Communication Co.Ltd","262","N/A","4145","socks4","4589","1","2025-06-23T11:38:22.829Z","99","1062","1070"
"51.158.125.135","elite","AS12876","FR","SCALEWAY","6","ONLINE","16379","socks5","4119","1","2025-06-23T11:37:37.347Z","9","315","3350"
"45.125.222.97","elite","AS63526","BD","Carnival Internet","202","N/A","47239","socks4","3900","1","2025-06-23T11:37:37.357Z","99","9822","9957"
"154.194.132.199","elite","AS139880","HK","OWGELS INTERNATIONAL CO., LIMITED","284","Starbow Ltd","1080","socks4","4916","1","2025-06-23T11:37:37.356Z","100","1545","1550"
"65.21.150.198","elite","AS24940","FI","Hetzner Online GmbH","40","Hetzner","3068","socks4","4373","1","2025-06-23T11:37:37.334Z","100","10133","10136"
"94.77.127.120","elite","AS6761","RU","INGATE Servers","43","N/A","80","socks4","4580","1","2025-06-23T11:37:37.347Z","99","2914","2955"
"69.167.169.46","elite","AS32244","US","Liquid Web, L.L.C","110","SourceDNS","40468","socks4","2985","1","2025-06-23T11:37:37.338Z","100","3329","3339"
"103.102.141.40","elite","AS136854","ID","PT. PALAPA RING BARAT","236","N/A","4145","socks4","3730","1","2025-06-23T11:37:37.359Z","99","3298","3342"
"185.205.249.24","elite","AS57389","HU","ZNET Telekom Zrt","33","Znettelekom","45264","socks4","4907","1","2025-06-23T11:37:37.355Z","100","10032","10040"
